TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
777927214.0,3.756247e-08,0.1695637,1.233089,0.02454568
777928015.0,4.221215e-08,0.2164225,1.190074,0.01481623
777928822.0,4.266073e-08,0.2000502,1.276573,-0.09628546
777929625.0,4.347819e-08,0.1996125,1.175388,-0.1069331
777930425.0,4.060999e-08,0.2793397,1.407015,-0.01485612
777931227.0,4.962006e-08,0.3085686,1.3952,-0.03157771
777932030.0,4.917233e-08,0.3555786,1.383102,0.09261568
777932768.0,5.622874e-08,0.4737575,1.385153,0.1010194
777933570.0,5.795175e-08,0.49812,1.385586,0.1396077
777934304.0,7.812714e-08,0.6388487,1.37744,0.1739322
777935108.0,8.899024e-08,0.6834262,1.323153,0.1193563
777935913.0,1.237329e-07,0.7559708,1.346343,0.1352265
777936650.0,1.302418e-07,0.7658517,1.365055,0.1537652
777937454.0,1.597701e-07,0.8023137,1.342444,0.1502461
777938191.0,1.731252e-07,0.8385369,1.373421,0.1767921
777938998.0,8.420282e-08,0.5989653,1.400253,0.1350341
777939737.0,5.802445e-08,0.4417478,1.399651,0.1349422
777940544.0,5.351005e-08,0.3835039,1.33869,0.2350827
777941284.0,5.062948e-08,0.3114384,1.41997,0.1810339
777942091.0,5.01458e-08,0.3099345,1.388256,0.225079
777942833.0,5.18896e-08,0.2243569,-1.558393,0.06076097
777943644.0,5.947361e-08,0.2878608,1.56125,0.003265032
777944452.0,7.04859e-08,0.2766131,1.527821,0.05726067
777945197.0,1.040118e-07,0.5741866,1.536443,0.05393003
777946009.0,6.170681e-08,0.2884942,-1.533212,0.1669376
777946752.0,5.698967e-08,0.3399629,-1.40742,0.2162099
777947495.0,5.414028e-08,0.3292937,-1.373242,0.154312
777948310.0,6.203153e-08,0.3765516,-1.390211,0.1943784
777949123.0,5.804411e-08,0.3797282,-1.417004,0.1791178
777949869.0,5.34137e-08,0.3762841,-1.403826,0.2283105
777950614.0,5.800309e-08,0.3916887,-1.408651,0.2279406
777951427.0,7.039619e-08,0.4530471,-1.552481,0.3219892
777952173.0,7.143491e-08,0.4864407,1.507338,0.336185
777952987.0,9.165074e-08,0.5696042,1.527027,0.3187477
777953732.0,1.296442e-07,0.6550797,1.530103,0.3668276
777954544.0,2.107248e-07,0.7893814,1.328724,0.4000275
777955357.0,9.957096e-08,0.585123,1.481026,0.2199278
777956100.0,6.809069e-08,0.4469159,-1.511294,0.06055593
777956913.0,6.353521e-08,0.46303,-1.40377,0.06461509
777957658.0,6.666081e-08,0.4583593,-1.378353,0.003188822
777958470.0,7.235281e-08,0.4977754,-1.266308,-0.03594089
777959218.0,8.129541e-08,0.559932,-1.274422,-0.01117691
777959961.0,1.220595e-07,0.6959496,-1.321911,0.01185744
777960772.0,9.419844e-08,0.5882389,-1.298039,0.08002617
777961517.0,8.114374e-08,0.5503774,-1.281464,0.05940652
777962328.0,7.181834e-08,0.4706359,-1.266608,0.1198753
777963073.0,7.382421e-08,0.4670121,-1.321144,0.1327765
777963883.0,7.228627e-08,0.529114,-1.225064,0.1409516
777964627.0,6.816642e-08,0.4907245,-1.169998,0.1224709
777965370.0,7.723976e-08,0.4935344,-1.144172,0.07880898
777966114.0,7.90444e-08,0.4457284,-1.131361,0.01603345
777966927.0,8.319143e-08,0.3863557,-1.116931,0.09217786
777967671.0,1.107417e-07,0.2118627,-1.422848,-0.1403999
777968451.0,3.81697e-07,0.6073609,1.26328,0.03845616
777969229.0,4.305759e-07,0.7543482,1.339766,0.0005068038
777970043.0,6.859944e-08,0.6949212,-1.452487,-0.0006826656
777970788.0,1.116983e-07,0.5951394,-1.277543,0.06142544
777971535.0,1.375916e-07,0.6711379,-1.254669,0.0508714
777972344.0,1.341125e-07,0.6737322,-1.213414,0.1031599
777973090.0,1.560829e-07,0.6976377,-1.183384,0.1438648
777973903.0,1.700796e-07,0.712522,-1.173845,0.1421966
777974649.0,1.45281e-07,0.6449405,-1.200366,0.172936
777975395.0,1.354805e-07,0.6266616,-1.205843,0.106224
777976142.0,1.458685e-07,0.6513058,-1.197845,0.1224946
777976957.0,1.360549e-07,0.6387129,-1.154447,0.1138873
777977773.0,1.33866e-07,0.6135133,-1.104315,0.1503606
777978520.0,1.454006e-07,0.6455274,-1.118027,0.1341351
777979253.0,1.549003e-07,0.61922,-1.114228,0.140811
777980053.0,1.609835e-07,0.5858479,-1.116764,0.09111758
777980852.0,1.626059e-07,0.5777892,-1.108659,0.1001877
777981618.0,4.743004e-07,0.5140161,-1.049779,0.1337844
777982414.0,3.083594e-07,0.580315,-1.357412,0.3779844
777983188.0,1.468501e-06,0.8273672,-1.541811,0.3313892
777983969.0,3.224972e-07,0.7117576,-1.225114,0.2524153
777984783.0,2.750341e-07,0.7172629,-1.094707,0.1897252
777985530.0,3.283266e-07,0.7740634,-1.048808,0.2302142
777986304.0,6.157761e-07,0.9113364,-1.073726,0.2792204
777987101.0,5.864025e-07,0.8802476,-1.082717,0.307054
777987898.0,3.427947e-07,0.772458,-1.067234,0.258487
